species	habitat	feeding_mode	trophic_level	offspring_size	spawning_type	age_maturity	fecundity	length_infinity	growth_coefficient	length_max	age_max	length_infinity	relative_growth_rate	weight_infinity	maximum_age	age_at_maturity	Length_at_maturity	generation_time
Apristurus_microps	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	107,2646219	0,183307778	4886,588727	14,8122889	5,748418777	69,24459706	768473,8849
Arctozenus_risso	bathypelagic	generalist	3,22	1,9	non-guarder	6	100000	21	0,7	30	11	19,74462131	0,670789777	51,49816511	4,016456769	1,200958049	12,21355707	24,27361899
Argentina_silus	bathydemersal	generalist	3,32	3,25	non-guarder	6,4	10000	45	0,16	70	35	44,21459045	0,197705194	792,4692057	21,92681112	6,422993856	33,41720518	35074,40126
Argentina_sphyraena	bathydemersal	generalist	3,62	1,72	non-guarder	2,5	10000	22	0,28	27	16	24,43512575	0,382005124	126,3541933	9,634453305	2,964321477	17,71564392	127,415537
Argyropelecus_aculeatus	bathypelagic	generalist	3,67	0,98	non-guarder	1	350	10	0,67	8	1	10,70452774	0,634889236	8,434445113	4,118528082	1,142920922	7,205008246	22,92152832
Argyropelecus_hemigymnus	bathypelagic	planktivorous	3,06	1	non-guarder	1	350	10	0,67	3	1	10,70452774	0,634889236	8,434445113	4,118528082	1,142920922	7,205008246	22,92152832
Argyropelecus_olfersii	bathypelagic	generalist	3,36	1,64	non-guarder	1	350	10	0,67	9	1	10,70452774	0,634889236	8,434445113	4,118528082	1,142920922	7,205008246	22,92152832
Argyrosomus_regius	benthopelagic	piscivorous	4,29	0,9	non-guarder	1,6	2000000	172	0,15	182	42	133,3022374	0,116468626	25196,30624	32,3408132	7,236577219	70,71129266	10982461,64
Arnoglossus_imperialis	demersal	benthivorous	3,84	0,75	non-guarder	1,5	50000	18	0,51	19	7	17,48087505	0,39458353	38,77638604	7,177698332	1,637878379	9,275127076	129,7340029
Arnoglossus_laterna	demersal	benthivorous	3,59	0,68	non-guarder	1,5	50000	17	0,25	17	8	15,43824041	0,391977112	25,14830072	6,36229926	1,495553436	7,82852932	69,98694347
Arnoglossus_rueppelii	demersal	benthivorous	4,03	0,7	non-guarder	1,5	50000	18	0,51	15	7	17,48087505	0,39458353	38,77638604	7,177698332	1,637878379	9,275127076	129,7340029
Arnoglossus_thori	demersal	benthivorous	3,28	0,72	non-guarder	1,5	50000	18	0,51	21	10	17,3496301	0,39134827	38,04471976	8,028944397	1,753359729	9,621407548	128,2490238
Artediellus_atlanticus	demersal	benthivorous	3,42	2,25	non-guarder	3,5	62	19	0,15	17	10	22,61733658	0,204706916	99,5346364	11,00936846	3,354284926	13,5428614	9674,22042
Atherina_boyeri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11,53426813	0,539852138	13,54316991	4,125861887	1,293493667	6,572333118	15,82912686
Atherina_presbyter	pelagic	planktivorous	3,67	1,87	non-guarder	1	1500	15	0,7	14	4	12,30577751	0,543568093	15,44028388	4,141622404	1,280383112	7,271559115	14,70265448
Balistes_capriscus	reef-associated	benthivorous	4,06	0,45	guarder	1	86750	53	0,38	56	15	41,39666815	0,308897838	1117,634602	5,337639081	1,868707056	19,04441784	24,27293267
Bathypterois_dubius	bathydemersal	generalist	3,37	NA	non-guarder	NA	2200	18	0,4	20	15	21,63369339	0,243273268	80,98614391	8,639590473	2,856349106	11,53814544	625,8998095
Bathyraja_pallida	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95,28075988	0,09507675	4374,549174	22,37897737	11,49054982	56,33436641	718998309,1
Bathyraja_richardsoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95,28075988	0,09507675	4374,549174	22,37897737	11,49054982	56,33436641	718998309,1
Bathysaurus_ferox	bathydemersal	piscivorous	4,34	0,8	non-guarder	NA	32000	NA	NA	74	NA	26,36922215	0,448122846	128,6716111	5,64878553	1,737858648	15,4159392	167,1983711
Bathysolea_profundicola	bathydemersal	benthivorous	3,17	0,99	non-guarder	3	125000	28	0,28	21	16,1	17,90655386	0,521908509	44,37136477	7,884685559	1,623895688	11,06930837	72,64978064
Belone_belone	pelagic	piscivorous	4,16	3,1	non-guarder	2	18000	58	0,23	93	11	46,22116527	0,31175382	465,9963945	7,165503675	2,37360919	23,72307438	246,8622568
Benthocometes_robustus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61,81400534	0,219159892	1659,740469	12,77551829	3,664105668	34,72134714	9451,077149
Benthosema_glaciale	benthopelagic	planktivorous	2,99	0,78	non-guarder	2,5	1051	9	0,36	7	8	8,859622423	0,461359756	6,0401274	5,498830201	1,509034871	5,591929167	27,17261561
Beryx_decadactylus	bathydemersal	generalist	4,13	1,08	non-guarder	6,1	472500	55	0,13	52	13	55,76346735	0,105845308	2583,874863	20,79115239	6,875274948	29,5860435	752432,4155
Beryx_splendens	benthopelagic	generalist	4,27	1,08	non-guarder	6,1	472500	46	0,17	43	23	52,78886975	0,138440115	2564,209988	16,71111105	5,484057868	27,25578792	22959,72914
Blennius_ocellaris	demersal	benthivorous	3,49	1,16	guarder	2,5	500	15	0,42	17	6,4	19,82650861	0,477561879	86,05746747	6,353870836	1,474800002	11,11686114	70,81007475
Blicca_bjoerkna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41,89357217	0,172615678	1442,744748	10,70598907	2,920338012	18,79519374	2122,407398
Boops_boops	demersal	planktivorous	2,79	0,9	non-guarder	1,5	150000	31	0,21	36	6	31,27761453	0,21457912	440,6944994	12,06321865	3,00121777	15,59761358	1264,81051
Borostomias_antarcticus	bathydemersal	generalist	3,6	1,77	non-guarder	NA	45000	28	0,41	35	5,5	25,94545805	0,384347321	120,9190651	6,32609703	1,824071142	16,18381791	109,4579518
Brama_brama	bathypelagic	generalist	4,08	1,6	non-guarder	4	NA	71	0,08	100	9	71,37655943	0,140530863	4325,834506	20,2520066	4,994970733	36,61691686	416646,6511
Brosme_brosme	demersal	generalist	3,9	1,35	non-guarder	7	2500000	79	0,12	120	20	80,79884573	0,132740401	4014,607884	20,9976312	6,375768069	47,73530959	347007,5902
Buenia_jeffreysii	demersal	benthivorous	3,62	1,04	guarder	1,2	4513	9	0,93	6	2,8	12,43202877	0,638784071	15,18924078	4,019310849	0,905023102	6,694769934	13,88181793
Buglossidium_luteum	demersal	benthivorous	3,31	0,84	non-guarder	3	13400	11	0,57	14	13	12,60787423	0,556779786	15,88189388	7,562365305	1,679184446	8,302010779	51,52996763
Callanthias_ruber	demersal	generalist	3,8	NA	non-guarder	NA	NA	NA	NA	60	NA	38,70621519	0,351392033	662,3687848	9,387624161	2,197243156	21,49901727	653,8245679
Callionymus_lyra	demersal	benthivorous	3,27	0,9	non-guarder	2,5	5000	21	0,47	30	7	21,64297326	0,538802058	69,20199809	5,310497961	1,486677071	14,06466814	21,36447351
Callionymus_maculatus	demersal	benthivorous	3,31	0,7	non-guarder	4	5000	21	0,47	13	1	24,30765877	0,51931493	112,9085025	5,510795836	1,510288749	14,85954503	33,42415305
Callionymus_reticulatus	demersal	benthivorous	3,28	0,8	non-guarder	3,3	5000	21	0,47	11	5	24,30765877	0,51931493	112,9085025	5,510795836	1,510288749	14,85954503	33,42415305
Capros_aper	demersal	generalist	3,14	0,4	non-guarder	3,3	NA	13	0,25	18	26	13,89660868	0,285379409	35,48495749	12,61348139	2,869087364	8,200307858	529,2761577
Caranx_rhonchus	reef-associated	generalist	4,06	3,5	non-guarder	2,7	846750	44	0,18	60	11	52,43987566	0,282847904	2031,550869	8,827084272	2,014845214	24,90415439	85,42579139
Cataetyx_laticeps	bathydemersal	benthivorous	3,39	1	bearer	NA	105	10	0,94	65	NA	14,31586119	0,695470981	21,50223667	4,317576895	1,179736071	9,105469857	20,37896119
Centrolabrus_exoletus	reef-associated	benthivorous	3,5	0,91	guarder	3,2	160631	13	0,75	13	6	12,89436932	0,584959137	24,28995775	6,016483258	1,370629737	8,190896644	22,22576898
Centrolophus_niger	bathypelagic	benthivorous	3,92	1,3	non-guarder	NA	NA	66	0,24	74	12	50,42094427	0,274593546	1417,557508	10,88639579	2,607394468	27,93859357	2128,27653
Centrophorus_granulosus	bathydemersal	piscivorous	4,11	360	bearer	25	1	134	0,04	170	62	132,6899633	0,067212061	11692,68897	42,42125692	19,17595405	88,8609992	3,61937E+14
Centrophorus_squamosus	bathydemersal	generalist	4,47	390	bearer	25	8	134	0,04	145	62	137,6846612	0,058969213	13219,80915	47,04227039	21,47204439	91,04876506	6,45423E+15
Centroscyllium_fabricii	bathydemersal	generalist	3,84	175	bearer	5	10	42	0,18	84	57	102,3663801	0,07600997	5466,34599	38,54013545	17,93017081	69,23506187	1,53713E+14
Centroscymnus_coelolepis	bathydemersal	generalist	4,48	410	bearer	12	21	85	0,11	88	54	124,8858801	0,091852536	9379,293225	29,8368247	13,13947277	80,6735456	1,659E+12
Cepola_macrophthalma	demersal	planktivorous	3,13	0,72	non-guarder	2,4	NA	68	0,2	73	6,5	47,37824599	0,264841496	211,0726029	5,995188123	1,928448826	22,40559489	113,7098068
Ceratoscopelus_maderensis	bathypelagic	planktivorous	3,05	0,5	non-guarder	0,5	3025	9	0,36	8	5	8,86607341	0,686904721	5,749004472	3,267585225	0,959135074	5,161974258	10,84755736
Cetorhinus_maximus	pelagic	planktivorous	3,2	1750	bearer	11,5	2	1000	0,06	914	50	942,908142	0,043030618	4693316,452	57,23602502	23,3967026	517,3496607	3,62417E+18
Chauliodus_sloani	bathypelagic	generalist	4,2	2,95	non-guarder	NA	45000	23	0,35	11	8	23,70970315	0,373165211	93,95066266	7,145071604	1,984870923	15,13884053	168,346876
Chaunax_pictus	bathydemersal	NA	4,3	NA	NA	NA	NA	NA	NA	40	NA	35,24359155	0,260428862	386,1924302	8,666467126	2,559308934	18,74679693	3387,875262
Chelidonichthys_cuculus	demersal	generalist	3,81	1,55	non-guarder	3,5	57500	39	0,49	34	17	35,26416692	0,375528454	454,6499748	12,48080505	3,320922112	24,1793176	459,4696779
Chelidonichthys_obscurus	demersal	benthivorous	3,74	1,33	non-guarder	2,6	15000	42	0,42	34	16,7	42,02387715	0,317110938	739,7573186	12,02445635	3,20064597	26,09800389	1116,663034
Chelon_labrosus	demersal	benthivorous	2,59	1,32	non-guarder	3	851000	51	0,2	60	25	49,84179326	0,20048279	1415,259614	15,20989916	3,914880338	26,32746389	4518,029163
Chiasmodon_niger	bathypelagic	piscivorous	4,2	NA	non-guarder	NA	NA	NA	NA	25	NA	25,67682971	0,447809344	175,1770864	7,283619624	1,673219313	15,61581294	139,2689842
Chimaera_monstrosa	bathydemersal	benthivorous	3,52	135	non-guarder	11	100	88	0,21	57	30	130,3978034	0,108057116	16617,20419	23,99496478	8,312082689	73,76291191	51618794,49
Chirolophis_ascanii	benthopelagic	benthivorous	3,23	2,55	guarder	3,3	75323	48	0,2	25	10	36,36059633	0,225771897	543,9977027	13,50975788	3,199510769	20,41640713	13966,80286
Chlorophthalmus_agassizi	bathydemersal	benthivorous	3,66	2	non-guarder	3	8615	19	0,24	16	10	20,40786756	0,376671043	61,41090822	6,144377154	1,925471006	11,67720678	85,74598096
Ciliata_mustela	demersal	generalist	3,5	0,82	non-guarder	1	19500	99	0,08	25	3	65,3791321	0,186904645	2007,38974	14,48720974	4,228604811	38,04246634	33065,28871
Ciliata_septentrionalis	demersal	planktivorous	3,5	0,82	non-guarder	1	19500	102	0,11	12	3	65,3791321	0,186904645	2007,38974	14,48720974	4,228604811	38,04246634	33065,28871
Citharus_linguatula	demersal	benthivorous	3,97	NA	non-guarder	2	5086	27	0,26	30	6	26,68467756	0,285466973	133,8190568	9,303247029	2,361570206	13,77400773	603,7652387
Clupea_harengus	benthopelagic	planktivorous	3,38	1,2	non-guarder	3,2	37783	31	0,32	51	25	30,37434673	0,33686441	194,130189	12,4763119	4,955588944	25,67902272	11661,65392
Coelorinchus_caelorhincus	benthopelagic	benthivorous	3,49	1,5	non-guarder	12,4	31226	25	0,12	48	10	32,25695132	0,147846948	247,8665676	26,63416804	7,424558921	19,71711861	2219280,938
Coelorinchus_labiatus	bathydemersal	generalist	3,95	1,5	non-guarder	12,4	29976	25	0,12	50	10	26,32949293	0,257786745	126,8447395	17,16312839	4,57590616	17,16834921	8494,723497
Conger_conger	demersal	piscivorous	4,31	2,58	non-guarder	10	5500000	229	0,07	180	20	85,49094207	0,111571457	5101,586282	15,2417471	5,250328385	40,86356504	66322,14819
Conocara_murrayi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33,41458021	0,280767055	318,1321543	12,03087647	3,641272858	22,42274081	2382,173526
Coregonus_lavaretus	demersal	generalist	3,13	2,05	non-guarder	2	63886	42	0,64	59	9	39,92741315	0,296625851	744,8452281	10,45069468	3,088712035	24,94574695	158,9254592
Coryphaenoides_guentheri	bathydemersal	generalist	3,26	1,5	non-guarder	10	31226	24	0,21	50	54	30,33672997	0,235750288	168,2859614	22,06101994	5,458971151	20,47502092	52419,83814
Coryphaenoides_mediterraneus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30,45950316	0,233468713	170,5219141	22,23198863	5,505594718	20,53368073	62136,44349
Coryphaenoides_rupestris	bathypelagic	generalist	3,54	1,5	non-guarder	10	29976	108	0,09	30	60	75,26479852	0,094419733	2278,988473	48,44467566	12,45133089	46,58743372	2,16777E+11
Cottunculus_microps	bathydemersal	generalist	4,14	4,5	non-guarder	4	375	NA	NA	15	12	38,37412716	0,170050149	472,4652471	15,22315988	4,626170807	23,16096571	543613,7018
Cottunculus_thomsonii	bathydemersal	benthivorous	3,5	3,75	non-guarder	4	375	NA	NA	43	12	38,37412716	0,170050149	472,4652471	15,22315988	4,626170807	23,16096571	543613,7018
Cottus_gobio	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7,513269789	0,493475601	4,293265822	4,782697029	1,389188644	4,69578158	23,05630247
Crystallogobius_linearis	demersal	planktivorous	3,4	1,35	guarder	0,4	3000	5	0,97	5	1	6,250080036	1,056912811	1,898161717	2,55404091	0,56042536	3,584665568	4,408309834
Ctenolabrus_rupestris	reef-associated	benthivorous	3,58	0,86	non-guarder	2	160631	17	0,33	18	8	17,83149703	0,349790395	73,41243504	8,472317803	2,057877855	10,40488066	113,4790033
Cyclopterus_lumpus	benthopelagic	planktivorous	3,89	2,2	guarder	3,5	225000	54	0,17	57	13	51,93966919	0,161591566	1141,81406	16,4100186	4,95021086	31,31472604	165555,8067
Cyttopsis_rosea	bathypelagic	generalist	4,01	NA	non-guarder	NA	NA	NA	NA	31	NA	40,69520291	0,228920078	705,5770686	12,25484636	3,516526196	22,97934261	60812,49931
Dalatias_licha	bathydemersal	piscivorous	4,23	300	bearer	6,8	15	146	0,17	182	36	124,8858801	0,091852536	9379,293225	29,8368247	13,13947277	80,6735456	1,659E+12
Dasyatis_pastinaca	demersal	benthivorous	4,05	80	bearer	3,7	6	122	0,09	75	16	152,9683334	0,081920379	11884,46272	10,92912663	4,768953104	52,08763051	222334,4592
Dasyatis_tortonesei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	121,6673669	0,120397681	6049,851235	9,783654681	4,027639209	47,15621048	52516,64127
Deania_calcea	bathydemersal	piscivorous	4,33	315	bearer	25	10	106	0,1	80	33,5	116,6999451	0,094479792	7804,385078	36,64581152	16,20868733	87,25793945	1,35033E+11
Deltentosteus_quadrimaculatus	demersal	benthivorous	3,1	1,04	guarder	1,2	4513	12	0,48	9	5	12,43202877	0,638784071	15,18924078	4,019310849	0,905023102	6,694769934	13,88181793
Dentex_canariensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69,10417247	0,141691413	6020,621119	15,90675448	4,03556891	31,98079135	16190,84742
Dentex_dentex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89,19962468	0,105446954	12850,86688	20,5645623	5,426684692	39,55106838	358168,2049
Dentex_gibbosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90,75515547	0,128657464	13583,04444	16,43147297	4,207958506	39,5876594	26012,9663
Dentex_maroccanus	demersal	benthivorous	3,85	1,14	non-guarder	2	856136	37	0,18	28	10	36,28095962	0,209799898	830,8499687	10,66082079	2,702060614	17,48253272	538,1554496
Dicentrarchus_labrax	demersal	generalist	3,47	1,3	non-guarder	3	520228	74	0,09	85	30	75,11875652	0,171500031	4056,012463	7,798651088	2,460796833	29,7503895	26263,2374
Dicentrarchus_punctatus	pelagic	generalist	3,94	1,3	non-guarder	3	520228	72	0,08	70	30	67,26777388	0,164480015	3298,591329	10,06431943	2,964825986	27,74347362	63441,86168
Dicologlossa_cuneata	demersal	benthivorous	3,32	0,8	non-guarder	3	160000	27	0,28	30	12	27,09495692	0,310258961	150,7602032	12,09559761	2,824110716	16,65728213	558,522836
Diplodus_annularis	benthopelagic	benthivorous	3,64	0,7	non-guarder	1,3	115000	22	0,24	22	13	20,87365305	0,255507151	153,2224408	8,409262794	2,195718635	10,18853685	136,9180347
Diplodus_bellottii	benthopelagic	benthivorous	3,55	0,7	non-guarder	2,8	115000	42	0,18	30	7,7	31,71816714	0,234378466	565,7644934	10,45428427	2,683338578	15,57422888	320,1461745
Diplodus_cervinus	reef-associated	benthivorous	2,99	0,7	non-guarder	2,8	115000	42	0,18	53	35	43,25899254	0,141688181	1574,615877	20,30389036	4,896172472	21,73986556	33892,88522
Diplodus_puntazzo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25,07265672	0,291447227	274,239701	8,696917059	2,193436068	12,76041755	118,7527816
Diplodus_sargus	demersal	benthivorous	3,22	2,81	non-guarder	2,8	115000	42	0,18	32	10	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!
Diplodus_vulgaris	benthopelagic	benthivorous	3,52	0,9	non-guarder	2	15437	28	0,37	45	6	33,96280481	0,233376427	696,3571082	10,37555579	2,729642041	17,25428698	260,0376455
Dipturus_batis	demersal	benthivorous	3,52	170	non-guarder	11	40	254	0,06	285	51	243,648935	0,065302973	61672,44027	26,08588098	14,29817914	135,7812228	1,46743E+11
Dipturus_linteus	"bathydemersal"""	benthivorous	3,51	153,33	non-guarder	10,7	40	233	0,08	152	51	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!	#ÁVALOR!
Dipturus_nidarosiensis	demersal	generalist	3,5	153,33	non-guarder	10,7	40	254	0,06	230	51	198,7217319	0,089746081	33530,6597	19,11107609	10,5656138	112,0092427	309811480,1
Dipturus_oxyrinchus	demersal	generalist	3,5	140	non-guarder	10,7	40	254	0,06	150	51	193,6299793	0,091862631	29098,22131	14,32415499	8,52753887	99,88904155	4812105,961
Diretmus_argenteus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29,09708728	0,313907878	245,3550301	7,841156897	2,557366354	16,41946231	888,6367651
Echiichthys_vipera	demersal	benthivorous	4,41	1,2	non-guarder	1	160000	15	0,33	15	14	38,70621519	0,351392033	662,3687848	9,387624161	2,197243156	21,49901727	653,8245679
Echiodon_drummondii	bathydemersal	generalist	4,03	1,28	non-guarder	NA	NA	NA	NA	30	NA	34,54061058	0,344147704	317,6998184	8,001857398	2,288529667	19,80561197	1024,682847
Enchelyopus_cimbrius	demersal	benthivorous	3,53	0,82	non-guarder	3	500000	37	0,23	41	9	38,92983723	0,264022011	413,4467929	9,97268689	2,986179591	23,53995673	419,5903057
Engraulis_encrasicolus	pelagic	planktivorous	3,11	1,5	non-guarder	1	174000	23	0,46	21	3	18,36287397	0,479639737	32,00488199	4,881880152	1,296623088	10,44176548	21,05449747
Entelurus_aequoreus	demersal	generalist	3,54	1,2	bearer	2	600	26	0,74	61	7,5	16,07882333	0,988699245	18,31636463	3,345760106	0,851400361	9,837280005	13,57498714
Ephippion_guttifer	demersal	benthivorous	3,55	0,85	NA	1	56183	39	0,35	80	6,8	29,0515601	0,509744855	312,8339098	5,285943234	1,505583813	16,47160872	31,11510845
Epigonus_denticulatus	bathydemersal	generalist	3,42	0,4	non-guarder	36,2	NA	25	0,26	20	42,3	79,31245353	0,143603682	5957,721779	27,70195955	6,014157761	43,51159726	26617105,27
Epigonus_telescopus	bathydemersal	generalist	3,59	0,4	non-guarder	36,2	NA	25	0,26	75	104	152,181295	0,06138563	44322,41129	62,21486637	13,723435	78,01934852	1,13331E+16
Esox_lucius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89,80749699	0,180417143	5288,624262	9,956686363	2,390485814	44,81677723	2388,561683
Etmopterus_princeps	bathydemersal	piscivorous	4,18	110	bearer	5	10	42	0,18	60	57	89,44369148	0,066845091	3789,363056	45,85166925	22,14164684	62,41064169	4,98605E+15
Etmopterus_spinax	bathydemersal	generalist	4,14	80	bearer	5	13	42	0,18	60	57	89,44369148	0,066845091	3789,363056	45,85166925	22,14164684	62,41064169	4,98605E+15
Eurypharynx_pelecanoides	bathypelagic	generalist	4,11	NA	non-guarder	NA	NA	NA	NA	100	NA	27,57467163	0,409566979	167,0987221	6,636933517	1,885414986	16,20285257	333,2522206
Eutrigla_gurnardus	demersal	generalist	3,87	1,35	non-guarder	2,8	244949	41	0,27	36	21	35,89066899	0,332909014	419,6314683	12,95697944	3,471561762	24,96117253	1122,321698
Facciolella_oxyrhyncha	demersal	benthivorous	3,5	0,05	non-guarder	3,5	4000	60	0,4	65	NA	61,08425707	0,236565116	1182,567095	9,913216041	2,996288174	35,23187884	3432,115012
Gadella_maraldi	benthopelagic	generalist	3,45	0,98	non-guarder	10,5	600000	43	0,15	30	27,4	58,37899776	0,202576899	1439,52894	14,0527009	3,926228455	33,43764029	39184,24554
Gadiculus_argenteus	benthopelagic	planktivorous	3,6	1	non-guarder	2	2549502	18	0,31	22	4	19,09520507	0,562063567	57,5410022	3,974533206	1,000417458	10,67809871	10,6033815
Gadus_morhua	benthopelagic	generalist	4,09	1,52	non-guarder	5,1	3772791	132	0,15	116	25	104,4906124	0,165194276	11398,83109	14,53982264	2,525985523	48,35584758	10233,55588
